complaint_id,customer_id,product_id,complaint_category,filed_date,resolved_date,resolution_days,sla_target_days,sla_breached,channel,status,csat_score
CMP00001,C00414,P006,Transaction Dispute,2024-12-05,2024-12-09,4,5,0,Mobile App,Escalated,1
CMP00002,C01306,P003,Fraud Report,2023-11-07,2023-11-10,3,1,1,Online Banking,Pending,5
CMP00003,C01688,P009,Loan Statement Error,2024-08-18,2024-08-31,13,7,1,Branch,Pending,5
CMP00004,C00157,P009,Poor Service,2024-03-04,2024-03-22,18,10,1,Online Banking,Escalated,4
CMP00005,C00042,P005,Poor Service,2023-12-21,2024-01-10,20,10,1,Call Centre,Resolved,4
CMP00006,C00812,P002,Fraud Report,2024-07-23,2024-07-24,1,1,0,Mobile App,Resolved,5
CMP00007,C00822,P008,Fraud Report,2024-06-20,2024-06-21,1,1,0,ATM,Pending,2
CMP00008,C00617,P005,Card Blocked / Lost,2023-07-14,2023-07-15,1,2,0,Mobile App,Resolved,5
CMP00009,C00656,P007,Poor Service,2023-02-26,2023-03-04,6,10,0,Call Centre,Resolved,5
CMP00010,C01936,P008,Incorrect Charges,2023-08-02,2023-08-04,2,5,0,ATM,Escalated,4
CMP00011,C00888,P005,Account Access,2024-06-21,2024-06-22,1,3,0,Call Centre,Escalated,2
CMP00012,C01490,P004,Online Banking Issue,2023-06-18,2023-06-24,6,3,1,Mobile App,Resolved,4
CMP00013,C00791,P001,Fraud Report,2024-02-06,2024-02-07,1,1,0,Branch,Pending,5
CMP00014,C01166,P009,Card Blocked / Lost,2024-09-21,2024-09-22,1,2,0,Online Banking,Escalated,4
CMP00015,C01834,P008,Incorrect Charges,2023-03-30,2023-04-02,3,5,0,Call Centre,Escalated,5
CMP00016,C01739,P008,Online Banking Issue,2024-11-28,2024-11-29,1,3,0,Online Banking,Pending,4
CMP00017,C01390,P001,Card Blocked / Lost,2024-06-22,2024-06-26,4,2,1,Mobile App,Escalated,5
CMP00018,C01693,P009,Card Blocked / Lost,2023-11-20,2023-11-21,1,2,0,Mobile App,Resolved,4
CMP00019,C01604,P002,Account Access,2023-08-19,2023-08-21,2,3,0,Mobile App,Escalated,3
CMP00020,C00359,P006,Transaction Dispute,2023-12-13,2023-12-14,1,5,0,Branch,Resolved,5
CMP00021,C01348,P005,Account Access,2024-04-17,2024-04-19,2,3,0,Mobile App,Resolved,5
CMP00022,C01982,P010,Online Banking Issue,2024-02-10,2024-02-16,6,3,1,Online Banking,Pending,2
CMP00023,C00558,P010,Loan Statement Error,2023-12-25,2024-01-01,7,7,0,Online Banking,Resolved,3
