transaction_id,customer_id,product_id,transaction_date,transaction_month,transaction_type,amount_myr,channel,status
T000001,C01156,P008,2024-01-13,2024-01,Transfer,116.43,Mobile App,Successful
T000002,C00760,P008,2024-08-27,2024-08,Bill Payment,208.73,ATM,Successful
T000003,C00871,P003,2023-09-10,2023-09,Purchase,102.34,Call Centre,Successful
T000004,C01660,P005,2024-04-17,2024-04,Transfer,174.38,Branch,Successful
T000005,C01576,P002,2024-06-10,2024-06,Purchase,30.48,Online Banking,Successful
T000006,C01509,P007,2024-07-21,2024-07,Purchase,309.4,Online Banking,Successful
T000007,C01932,P002,2024-05-15,2024-05,Purchase,245.02,Mobile App,Successful
T000008,C01059,P002,2024-11-17,2024-11,Transfer,99.6,Branch,Successful
T000009,C01779,P002,2023-12-17,2023-12,Bill Payment,505.31,Mobile App,Successful
T000010,C00087,P007,2024-04-08,2024-04,Purchase,686.31,Branch,Successful
T000011,C00681,P002,2023-02-18,2023-02,Withdrawal,300.0,Online Banking,Successful
T000012,C00565,P008,2023-11-04,2023-11,Purchase,105.74,Online Banking,Successful
T000013,C00403,P001,2023-01-18,2023-01,Bill Payment,105.0,Online Banking,Successful
T000014,C01082,P006,2024-04-02,2024-04,Transfer,87.02,Online Banking,Successful
T000015,C00061,P004,2023-05-04,2023-05,Bill Payment,609.37,Online Banking,Reversed
T000016,C01646,P004,2024-09-13,2024-09,Transfer,197.71,Call Centre,Successful
T000017,C00901,P005,2024-03-23,2024-03,Refund,182.92,Online Banking,Successful
T000018,C00724,P010,2023-03-07,2023-03,Transfer,27.0,Call Centre,Successful
T000019,C00973,P001,2023-02-02,2023-02,Purchase,492.24,Online Banking,Successful
T000020,C00206,P005,2023-12-05,2023-12,Bill Payment,62.6,Branch,Successful
T000021,C00239,P001,2024-04-02,2024-04,Bill Payment,261.37,Mobile App,Successful
T000022,C00517,P001,2023-01-21,2023-01,Bill Payment,331.99,Online Banking,Successful
T000023,C01574,P009,2023-03-11,2023-03,Withdrawal,1000.0,Mobile App,Successful
T000024,C01293,P005,2024-08-10,2024-08,Purchase,57.99,Online Banking,Reversed
T000025,C00135,P006,2023-06-26,2023-06,Purchase,8.83,Mobile App,Successful
T000026,C01655,P010,2023-11-01,2023-11,Bill Payment,299.54,Mobile App,Successful
T000027,C01869,P007,2024-09-12,2024-09,Transfer,1773.24,Mobile App,Successful
T000028,C00134,P004,2024-04-19,2024-04,Bill Payment,956.08,Mobile App,Successful
T000029,C00783,P010,2024-07-23,2024-07,Bill Payment,308.16,Branch,Successful
T000030,C01957,P002,2023-06-02,2023-06,Purchase,142.48,Online Banking,Successful
T000031,C00983,P010,2023-09-30,2023-09,Purchase,594.57,Call Centre,Successful
T000032,C00895,P003,2023-08-04,2023-08,Bill Payment,83.86,ATM,Successful
T000033,C01219,P005,2024-08-19,2024-08,Bill Payment,413.23,Branch,Successful
T000034,C01653,P001,2023-03-10,2023-03,Bill Payment,426.67,Call Centre,Successful
T000035,C00883,P003,2023-01-27,2023-01,Purchase,785.43,Branch,Successful
T000036,C01852,P009,2023-06-25,2023-06,Purchase,5093.02,Online Banking,Successful
T000037,C01354,P001,2024-10-07,2024-10,Withdrawal,2000.0,Online Banking,Successful
T000038,C01848,P009,2023-03-27,2023-03,Purchase,139.79,Mobile App,Successful
T000039,C01171,P009,2024-09-01,2024-09,Transfer,237.9,ATM,Successful
T000040,C01845,P003,2023-04-25,2023-04,Purchase,34.95,Online Banking,Successful
T000041,C01713,P009,2024-05-30,2024-05,Bill Payment,113.96,ATM,Successful
T000042,C01041,P001,2023-03-14,2023-03,Top-Up,155.99,ATM,Successful
T000043,C00623,P009,2023-05-22,2023-05,Purchase,137.48,Branch,Failed
T000044,C01810,P006,2024-06-18,2024-06,Transfer,289.34,ATM,Successful
T000045,C00902,P009,2024-01-18,2024-01,Transfer,99.02,Branch,Successful
T000046,C01663,P001,2023-09-23,2023-09,Transfer,839.77,Online Banking,Successful
T000047,C01366,P002,2023-07-04,2023-07,Withdrawal,500.0,Mobile App,Successful
T000048,C00826,P002,2024-10-25,2024-10,Bill Payment,242.2,ATM,Successful
T000049,C01024,P010,2023-10-04,2023-10,Withdrawal,1000.0,Mobile App,Successful
